Travel_ID,Traveler_Name,Gender,Age,Country,City,Travel_Type,Transport_Mode,Booking_Source,Travel_Month,Travel_Year,Stay_Days,Travel_Cost,Hotel_Type,Rating,Season
T0001,Traveler_1,Female,41,Singapore,Sydney,Leisure,Bus,Online,July,2023,9,73452,Budget,4,Summer
T0002,Traveler_2,Female,57,Italy,Rome,Business,Train,Agent,January,2024,9,110948,Luxury,5,Winter
T0003,Traveler_3,Male,29,UAE,New York,Leisure,Train,Online,August,2024,9,80951,Standard,3,Summer
T0004,Traveler_4,Male,35,Thailand,Singapore,Business,Flight,Online,September,2023,2,70360,Luxury,4,Monsoon
T0005,Traveler_5,Male,41,Germany,Sydney,Business,Flight,Agent,March,2022,7,114065,Luxury,5,Monsoon
T0006,Traveler_6,Female,54,Italy,Dubai,Business,Train,Online,February,2022,6,60351,Standard,4,Monsoon
T0007,Traveler_7,Female,27,UAE,Sydney,Leisure,Bus,Agent,June,2023,3,81448,Budget,5,Monsoon
T0008,Traveler_8,Male,18,Italy,Berlin,Leisure,Bus,Agent,June,2024,5,77874,Budget,5,Winter
T0009,Traveler_9,Female,44,Singapore,Goa,Leisure,Flight,Agent,November,2024,10,90403,Luxury,4,Summer
T0010,Traveler_10,Male,35,UK,Berlin,Business,Flight,Online,February,2022,6,29668,Luxury,5,Summer
T0011,Traveler_11,Female,26,Singapore,Dubai,Leisure,Bus,Online,November,2022,5,37039,Budget,3,Winter
T0012,Traveler_12,Male,26,India,Berlin,Leisure,Train,Online,April,2022,5,34284,Luxury,4,Summer
T0013,Traveler_13,Female,22,Singapore,Berlin,Business,Flight,Agent,June,2023,6,100244,Standard,5,Winter
T0014,Traveler_14,Male,54,UAE,Paris,Leisure,Bus,Agent,November,2024,7,88390,Luxury,4,Summer
T0015,Traveler_15,Male,55,USA,London,Business,Flight,Online,February,2024,6,97199,Luxury,4,Summer
T0016,Traveler_16,Female,51,USA,London,Leisure,Flight,Online,June,2022,5,93504,Standard,5,Summer
T0017,Traveler_17,Female,33,France,Rome,Leisure,Train,Online,July,2023,2,104407,Luxury,5,Winter
T0018,Traveler_18,Male,56,UAE,Dubai,Business,Bus,Agent,March,2024,5,40680,Luxury,5,Monsoon
T0019,Traveler_19,Female,33,Germany,Goa,Leisure,Bus,Online,March,2024,8,105949,Standard,4,Summer
T0020,Traveler_20,Female,57,Italy,Rome,Business,Train,Online,June,2022,4,34489,Budget,3,Summer
T0021,Traveler_21,Male,19,UAE,Dubai,Business,Bus,Online,November,2022,2,69301,Luxury,4,Monsoon
T0022,Traveler_22,Female,43,USA,Goa,Leisure,Flight,Online,March,2022,9,110885,Budget,5,Summer
T0023,Traveler_23,Female,24,India,Bangkok,Leisure,Flight,Online,July,2024,6,35056,Standard,4,Summer
T0024,Traveler_24,Male,57,Germany,Bangkok,Leisure,Bus,Online,May,2022,2,16274,Standard,5,Summer
T0025,Traveler_25,Male,46,France,Sydney,Leisure,Bus,Online,August,2022,5,82441,Budget,3,Summer
T0026,Traveler_26,Female,25,India,Bangkok,Leisure,Flight,Online,March,2024,3,112170,Luxury,4,Summer
T0027,Traveler_27,Male,58,UK,Goa,Leisure,Bus,Online,May,2024,9,117216,Budget,5,Monsoon
